University Name,City,University Rank (Approx),Level,Course Name,Course Duration,Available Intakes,Fall Intake Month,Spring Intake Month,Degree Required (UK Equivalent),Min Percentage Equivalent,IELTS Requirement,Work Experience Required (Yes/No),Accepted Background,Scholarship Available (Yes/No),Estimated Tuition Fee (Ł per year),Documents Required (International Students),Visa Type,Visa Requirements Summary,University Website
University of Edinburgh,Edinburgh,5,Masters,MBA,1 Year,Fall/Spring,September,January,2:01,60,6.5,Yes,Any Discipline + Work Experience,Yes,35000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.ed.ac.uk
King's College London,London,6,Undergraduate,BSc Computer Science,3 Years,Fall,September,,AAB Equivalent,75,6.5,No,Mathematics,Yes,25000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.kcl.ac.uk
King's College London,London,6,Undergraduate,LLB Law,3 Years,Fall,September,,AAA Equivalent,80,7,No,Any Stream,Yes,24000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.kcl.ac.uk
King's College London,London,6,Undergraduate,BEng Engineering,3 Years,Fall,September,,AAB Equivalent,75,6.5,No,Maths & Physics,Yes,26000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.kcl.ac.uk
King's College London,London,6,Undergraduate,MBBS Medicine,5 Years,Fall,September,,AAA Equivalent,85,7.5,No,Biology & Chemistry,Yes,40000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.kcl.ac.uk
King's College London,London,6,Masters,MSc Computer Science,1 Year,Fall/Spring,September,January,2:01,65,6.5,No,Computer Science or IT,Yes,28000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.kcl.ac.uk
King's College London,London,6,Masters,LLM Law,1 Year,Fall,September,,2:01,65,7,No,Law or Related,Yes,23000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.kcl.ac.uk
King's College London,London,6,Masters,MSc Engineering,1 Year,Fall/Spring,September,January,2:01,65,6.5,No,Engineering Background,Yes,27000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.kcl.ac.uk
King's College London,London,6,Masters,MBA,1 Year,Fall/Spring,September,January,2:01,60,6.5,Yes,Any Discipline + Work Experience,Yes,35000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.kcl.ac.uk
University of Manchester,Manchester,7,Undergraduate,BSc Computer Science,3 Years,Fall,September,,AAB Equivalent,75,6.5,No,Mathematics,Yes,25000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.manchester.ac.uk
University of Manchester,Manchester,7,Undergraduate,LLB Law,3 Years,Fall,September,,AAA Equivalent,80,7,No,Any Stream,Yes,24000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.manchester.ac.uk
University of Manchester,Manchester,7,Undergraduate,BEng Engineering,3 Years,Fall,September,,AAB Equivalent,75,6.5,No,Maths & Physics,Yes,26000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.manchester.ac.uk
University of Manchester,Manchester,7,Undergraduate,MBBS Medicine,5 Years,Fall,September,,AAA Equivalent,85,7.5,No,Biology & Chemistry,Yes,40000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.manchester.ac.uk
University of Manchester,Manchester,7,Masters,MSc Computer Science,1 Year,Fall/Spring,September,January,2:01,65,6.5,No,Computer Science or IT,Yes,28000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.manchester.ac.uk
University of Manchester,Manchester,7,Masters,LLM Law,1 Year,Fall,September,,2:01,65,7,No,Law or Related,Yes,23000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.manchester.ac.uk
University of Manchester,Manchester,7,Masters,MSc Engineering,1 Year,Fall/Spring,September,January,2:01,65,6.5,No,Engineering Background,Yes,27000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.manchester.ac.uk
University of Manchester,Manchester,7,Masters,MBA,1 Year,Fall/Spring,September,January,2:01,60,6.5,Yes,Any Discipline + Work Experience,Yes,35000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.manchester.ac.uk
University of Bristol,Bristol,8,Undergraduate,BSc Computer Science,3 Years,Fall,September,,AAB Equivalent,75,6.5,No,Mathematics,Yes,25000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.bristol.ac.uk
University of Bristol,Bristol,8,Undergraduate,LLB Law,3 Years,Fall,September,,AAA Equivalent,80,7,No,Any Stream,Yes,24000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.bristol.ac.uk
University of Bristol,Bristol,8,Undergraduate,BEng Engineering,3 Years,Fall,September,,AAB Equivalent,75,6.5,No,Maths & Physics,Yes,26000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.bristol.ac.uk
University of Bristol,Bristol,8,Undergraduate,MBBS Medicine,5 Years,Fall,September,,AAA Equivalent,85,7.5,No,Biology & Chemistry,Yes,40000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.bristol.ac.uk
University of Bristol,Bristol,8,Masters,MSc Computer Science,1 Year,Fall/Spring,September,January,2:01,65,6.5,No,Computer Science or IT,Yes,28000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.bristol.ac.uk
University of Bristol,Bristol,8,Masters,LLM Law,1 Year,Fall,September,,2:01,65,7,No,Law or Related,Yes,23000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.bristol.ac.uk
University of Bristol,Bristol,8,Masters,MSc Engineering,1 Year,Fall/Spring,September,January,2:01,65,6.5,No,Engineering Background,Yes,27000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.bristol.ac.uk
University of Bristol,Bristol,8,Masters,MBA,1 Year,Fall/Spring,September,January,2:01,60,6.5,Yes,Any Discipline + Work Experience,Yes,35000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.bristol.ac.uk
University of Warwick,Coventry,9,Undergraduate,BSc Computer Science,3 Years,Fall,September,,AAB Equivalent,75,6.5,No,Mathematics,Yes,25000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.warwick.ac.uk
University of Warwick,Coventry,9,Undergraduate,LLB Law,3 Years,Fall,September,,AAA Equivalent,80,7,No,Any Stream,Yes,24000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.warwick.ac.uk
University of Warwick,Coventry,9,Undergraduate,BEng Engineering,3 Years,Fall,September,,AAB Equivalent,75,6.5,No,Maths & Physics,Yes,26000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.warwick.ac.uk
University of Warwick,Coventry,9,Undergraduate,MBBS Medicine,5 Years,Fall,September,,AAA Equivalent,85,7.5,No,Biology & Chemistry,Yes,40000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.warwick.ac.uk
University of Warwick,Coventry,9,Masters,MSc Computer Science,1 Year,Fall/Spring,September,January,2:01,65,6.5,No,Computer Science or IT,Yes,28000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.warwick.ac.uk
University of Warwick,Coventry,9,Masters,LLM Law,1 Year,Fall,September,,2:01,65,7,No,Law or Related,Yes,23000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.warwick.ac.uk
University of Warwick,Coventry,9,Masters,MSc Engineering,1 Year,Fall/Spring,September,January,2:01,65,6.5,No,Engineering Background,Yes,27000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.warwick.ac.uk
University of Warwick,Coventry,9,Masters,MBA,1 Year,Fall/Spring,September,January,2:01,60,6.5,Yes,Any Discipline + Work Experience,Yes,35000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.warwick.ac.uk
University of Glasgow,Glasgow,10,Undergraduate,BSc Computer Science,3 Years,Fall,September,,AAB Equivalent,75,6.5,No,Mathematics,Yes,25000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.gla.ac.uk
University of Glasgow,Glasgow,10,Undergraduate,LLB Law,3 Years,Fall,September,,AAA Equivalent,80,7,No,Any Stream,Yes,24000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.gla.ac.uk
University of Glasgow,Glasgow,10,Undergraduate,BEng Engineering,3 Years,Fall,September,,AAB Equivalent,75,6.5,No,Maths & Physics,Yes,26000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.gla.ac.uk
University of Glasgow,Glasgow,10,Undergraduate,MBBS Medicine,5 Years,Fall,September,,AAA Equivalent,85,7.5,No,Biology & Chemistry,Yes,40000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.gla.ac.uk
University of Glasgow,Glasgow,10,Masters,MSc Computer Science,1 Year,Fall/Spring,September,January,2:01,65,6.5,No,Computer Science or IT,Yes,28000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.gla.ac.uk
University of Glasgow,Glasgow,10,Masters,LLM Law,1 Year,Fall,September,,2:01,65,7,No,Law or Related,Yes,23000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.gla.ac.uk
University of Glasgow,Glasgow,10,Masters,MSc Engineering,1 Year,Fall/Spring,September,January,2:01,65,6.5,No,Engineering Background,Yes,27000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.gla.ac.uk
University of Glasgow,Glasgow,10,Masters,MBA,1 Year,Fall/Spring,September,January,2:01,60,6.5,Yes,Any Discipline + Work Experience,Yes,35000,Academic Transcripts; Degree Certificate; IELTS/English Test; Passport Copy; Personal Statement; 2 Reference Letters; CV (if applicable),UK Student Visa (Tier 4),CAS issued by university; Proof of funds; Valid passport; TB test (if required country); English proficiency; Visa application + biometrics,https://www.gla.ac.uk
